Time Interval,Agent 8,Agent 6,Agent 0,Agent 2,Agent 5,Agent 4,Agent 7,Agent 1,Agent 9,Agent 3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,9.5060483799855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,9.5060483799855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,9.5060483799855,0.0,0.0,0.0,0.0,0.0,6.671857302257341,0.0
6,0.0,0.0,9.5060483799855,0.0,0.0,0.0,0.0,0.0,6.671857302257341,0.0
7,0.0,0.0,9.5060483799855,26.930103910104684,0.0,0.0,0.0,0.0,6.671857302257341,0.0
8,33.18735750259706,0.0,9.5060483799855,26.930103910104684,33.18735750259706,0.0,0.0,0.0,6.671857302257341,0.0
9,33.18735750259706,0.0,0.0,26.930103910104684,33.18735750259706,0.0,0.0,0.0,6.671857302257341,17.690312014021945
10,33.18735750259706,0.0,25.975144757085534,26.930103910104684,33.18735750259706,0.0,0.0,0.0,6.671857302257341,17.690312014021945
11,33.18735750259706,0.0,25.975144757085534,26.930103910104684,33.18735750259706,0.0,0.0,0.0,0.0,17.690312014021945
12,33.18735750259706,0.0,25.975144757085534,26.930103910104684,33.18735750259706,0.0,0.0,0.0,20.99874114550467,17.690312014021945
13,33.18735750259706,0.0,25.975144757085534,26.930103910104684,33.18735750259706,0.0,0.0,0.0,20.99874114550467,17.690312014021945
14,33.18735750259706,0.0,25.975144757085534,26.930103910104684,33.18735750259706,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
15,0.0,0.0,25.975144757085534,26.930103910104684,33.18735750259706,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
16,0.0,0.0,25.975144757085534,26.930103910104684,0.0,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
17,16.54817216543019,0.0,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
18,16.54817216543019,0.0,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
19,16.54817216543019,21.6718545811661,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
20,16.54817216543019,21.6718545811661,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
21,16.54817216543019,21.6718545811661,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,17.690312014021945
22,16.54817216543019,21.6718545811661,25.975144757085534,13.526685851673642,13.028291281646071,14.840461527398025,0.0,0.0,20.99874114550467,3.201035536004262
23,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,3.201035536004262
24,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,3.201035536004262
25,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,3.201035536004262
26,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,3.201035536004262
27,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,3.201035536004262
28,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,20.99874114550467,13.327066776069904
29,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,14.840461527398025,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
30,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
31,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
32,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
33,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,13.028291281646071,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
34,16.54817216543019,21.6718545811661,28.429987382704283,13.526685851673642,20.21044987711231,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
35,28.60789440500696,21.6718545811661,28.429987382704283,13.526685851673642,20.21044987711231,36.04267403288711,21.976343125209425,4.568572965808846,27.35358097687183,13.327066776069904
