Time Interval,Agent 3
0,0.0
1,0.0
2,91.61
3,91.62
4,91.62
5,91.63
6,91.63
7,91.63
8,91.63
9,91.64
10,91.64
11,91.64
12,91.64
13,91.64
14,65.96
15,174.31
16,168.59
17,168.59
18,122.94
19,122.94
20,122.94
21,108.36
22,108.36
23,108.36
24,108.36
25,108.36
26,108.36
27,108.36
28,108.36
29,108.36
30,108.36
31,155.21
32,155.21
33,155.21
34,155.21
35,155.21
36,155.21
37,155.21
38,155.21
39,155.21
40,155.21
41,155.21
42,155.21
43,155.21
44,155.21
45,155.21
46,155.22
47,155.22
48,155.22
49,155.22
50,155.22
51,155.22
52,155.22
53,155.22
54,155.22
55,155.22
56,155.22
57,155.22
58,155.22
59,155.22
60,155.22
61,152.36
62,137.31
63,137.32
64,137.32
65,137.32
66,137.32
67,137.32
68,137.32
69,137.32
70,137.32
71,137.32
72,137.32
73,137.32
74,137.32
75,137.32
76,137.32
77,129.67
78,129.67
79,129.67
80,129.67
81,117.11
82,117.12
83,109.39
84,109.39
85,80.15
86,80.15
87,70.69
88,70.69
89,70.69
90,70.69
91,70.69
92,70.69
93,70.69
94,70.69
95,54.05
96,42.85
97,42.85
98,32.07
99,19.8
100,12.62
101,12.62
102,12.62
103,12.62
104,12.62
105,12.62
106,12.62
107,12.62
108,12.62
109,12.62
110,12.62
111,12.62
112,12.62
113,12.62
114,12.62
115,12.62
116,12.62
117,12.62
118,12.62
