Time Interval,Agent 25
0,0.0
1,0.0
2,0.0
3,6.44
4,21.56
5,21.57
6,21.57
7,21.57
8,21.57
9,52.31
10,52.31
11,52.31
12,52.32
13,52.32
14,52.32
15,52.32
16,52.32
17,52.32
18,45.88
19,45.89
20,45.89
21,45.89
22,45.89
23,45.89
24,45.89
25,45.89
26,45.9
27,45.9
28,59.03
29,55.78
30,55.78
31,55.79
32,55.79
33,55.79
34,55.79
35,55.79
36,55.79
37,55.79
38,55.79
39,55.79
40,55.79
41,55.79
42,55.79
43,55.79
44,55.79
45,55.79
46,49.29
47,49.29
48,49.29
49,49.29
50,49.29
51,38.7
52,71.06
53,71.06
54,71.06
55,71.07
56,71.07
57,71.07
58,71.07
59,71.07
60,57.39
61,57.39
62,57.39
63,57.39
64,57.39
65,57.4
66,57.4
67,57.4
68,57.4
69,57.4
70,57.4
71,57.4
72,57.4
73,57.4
74,57.4
75,57.4
76,57.4
77,57.4
78,57.4
79,57.4
80,57.4
81,57.4
82,57.4
83,57.4
84,57.4
85,52.16
86,32.37
87,32.37
88,32.37
89,32.37
90,32.37
91,32.37
92,32.37
93,24.99
94,13.54
95,13.54
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
