job_id,created_at,selection_started_at,selected_by_agent_at,scheduled_at,completed_at,exit_status,leader_id
32,1758857181.000854,1758857182.416597,1758857182.9680471,0,1758857187.118575,0,2
49,1758857182.0193,1758857183.609332,1758857184.2777169,0,1758857184.6044018,0,15
76,1758857185.148264,1758857186.2406678,1758857186.818034,0,1758857206.1140878,0,3
71,1758857185.1481102,1758857186.437366,1758857186.993647,0,1758857187.6734028,0,8
50,1758857182.0193431,1758857183.609338,1758857184.279976,0,1758857184.6091452,0,15
53,1758857183.059073,1758857183.666332,1758857184.277494,0,1758857184.605512,0,2
75,1758857185.1482399,1758857186.9622998,1758857187.079981,0,1758857203.199418,0,26
35,1758857181.0009642,1758857182.851501,1758857183.422663,0,1758857183.568581,0,13
97,1758857187.190455,1758857188.316834,1758857188.87394,0,1758857189.142139,0,15
46,1758857182.019167,1758857183.576083,1758857184.176525,0,1758857184.626981,0,11
41,1758857182.018844,1758857183.576093,1758857184.1801422,0,1758857184.631741,0,11
59,1758857183.059226,1758857184.563137,1758857185.093628,0,1758857185.1419299,0,23
91,1758857187.190281,1758857188.8032992,1758857188.8398368,0,1758857189.188391,0,8
84,1758857186.173852,1758857187.4863229,1758857188.034247,0,1758857188.165812,0,23
64,1758857184.0963001,1758857185.296292,1758857185.8386161,0,1758857187.146196,0,11
52,1758857183.0590441,1758857184.1774578,1758857184.753515,0,1758857185.1446478,0,8
44,1758857182.0190709,1758857183.609247,1758857184.24981,0,1758857187.122953,0,2
80,1758857185.148362,1758857186.437356,1758857186.9902809,0,1758857187.159897,0,8
81,1758857186.17376,1758857187.959795,1758857188.516669,0,1758857188.5508149,0,3
5,1758857177.9176362,1758857179.507353,1758857180.057008,0,1758857180.4983869,0,3
56,1758857183.059165,1758857183.918463,1758857184.5117178,0,1758857184.637815,0,23
23,1758857179.98384,1758857181.344245,1758857181.887668,0,1758857182.61066,0,11
57,1758857183.059186,1758857184.563145,1758857185.095792,0,1758857185.144843,0,23
86,1758857186.173897,1758857187.185107,1758857187.7120051,0,1758857188.1431308,0,4
2,1758857177.917428,1758857180.190363,1758857180.234018,0,1758857180.5745149,0,8
55,1758857183.059134,1758857184.5468411,1758857185.1013749,0,1758857185.116153,0,5
51,1758857183.058998,1758857184.5631511,1758857185.097652,0,1758857185.147727,0,23
99,1758857187.190497,1758857188.803304,1758857188.844161,0,1758857193.210149,0,8
42,1758857182.018954,1758857182.898381,1758857183.4869561,0,1758857183.561502,0,1
67,1758857184.096375,1758857185.296287,1758857185.8369222,0,1758857187.657023,0,11
66,1758857184.096344,1758857185.37614,1758857185.8950982,0,1758857186.1101708,0,2
87,1758857186.173919,1758857187.4863281,1758857188.03823,0,1758857188.168055,0,23
90,1758857186.17398,1758857187.5568588,1758857188.176151,0,1758857188.664779,0,11
