job_id,wait_time
99,10.507734775543213
98,276.81753182411194
97,362.2058277130127
96,612.0938336849213
95,612.0484011173248
94,820.5216491222382
93,954.561413526535
92,955.121898651123
91,1110.8539865016937
90,35.0669322013855
89,730.1581463813782
88,1110.7162754535675
87,145.6873586177826
86,537.1492161750793
85,140.519864320755
84,537.1686494350433
83,1110.7077219486237
82,276.82724928855896
81,1066.6592481136322
80,110.90684700012207
79,1486.7912335395813
78,1100.6620154380798
77,1100.6690037250519
76,750.0700719356537
75,425.4897964000702
74,406.1307852268219
73,1100.6895427703857
72,1100.7145729064941
71,1486.8312757015228
70,863.6487617492676
69,1110.4324207305908
68,613.2566111087799
67,75.62608814239502
66,613.2411077022552
65,1110.442039012909
64,45.57399320602417
63,1515.465661764145
62,1810.1599361896515
61,45.54942178726196
60,1421.7093150615692
59,419.40303659439087
58,419.2223572731018
57,75.65415644645691
56,1500.6913661956787
55,90.11729383468628
54,150.4186511039734
53,355.5262978076935
52,150.4165163040161
51,276.88346338272095
50,1500.777170419693
49,830.8475892543793
48,830.8531811237335
47,1857.3721206188202
46,1396.691725730896
45,1340.8463461399078
44,1685.479121685028
43,1486.828694343567
42,419.28553891181946
41,1485.6904954910278
40,1340.7079904079437
39,1340.7207474708557
38,968.6693468093872
37,163.69155430793762
36,610.0739142894745
35,968.6813058853149
34,1340.7298579216003
33,217.16091537475586
32,1110.49817943573
31,830.7330486774445
30,1723.7449746131897
29,1245.4435105323792
28,1857.2899568080902
27,830.6675343513489
26,230.4237654209137
25,830.9936666488647
24,1137.6829063892365
23,863.6593086719513
22,276.1669385433197
21,1486.9696733951569
20,1421.7188861370087
19,830.6337478160858
18,276.92311835289
17,425.40244245529175
16,1490.6749114990234
15,325.57868361473083
14,440.4011483192444
13,1775.7159433364868
12,1100.7100162506104
11,726.640300989151
10,425.3859498500824
9,276.9635787010193
8,728.6735351085663
7,145.65557670593262
6,1140.6043438911438
5,830.6256964206696
4,617.8377118110657
3,818.1471843719482
2,135.57243967056274
1,548.2421457767487
0,1140.6091351509094
