job_id,leader_id,scheduling_latency,reasoning_time
18,2,17.54764199256897,1.3477054169998155
44,4,33.217225074768066,1.114166583000042
36,1,19.051432132720947,2.375037957999666
15,1,7.811439037322998,1.3903436250002414
24,5,20.10021710395813,1.4063195829985489
1,2,17.55819320678711,1.048014541000157
100,4,44.67137622833252,1.3499833749992831
57,5,30.044591903686523,1.2928079579996847
91,1,41.55348777770996,1.692258250001032
26,3,14.440099000930786,2.794176166999023
45,5,30.065129041671753,1.2752122920010152
93,1,47.74777603149414,1.630116917000123
76,2,51.42633509635925,1.8479470840011345
53,4,33.22464632987976,1.1176788329994451
10,1,7.804765939712524,1.5434330419993785
65,1,37.47231698036194,2.000563667001188
80,2,35.38501024246216,1.2018683749993215
17,5,9.868664741516113,1.2661720420001077
42,3,28.988406896591187,1.695276541999192
54,4,26.882516860961914,1.4169061669999792
41,4,33.23316025733948,1.2454823329990177
92,4,50.36209297180176,1.202280334000534
96,5,41.56785702705383,1.3981602089988885
51,1,30.57984209060669,1.825572292000288
60,1,22.162949085235596,1.5785296670001117
55,1,26.35426902770996,1.423889165998844
28,1,21.1497859954834,1.490065666999726
99,4,43.627894163131714,2.070135624999238
13,1,12.449538946151733,1.6643343329997151
40,1,19.057460069656372,1.4776289580004232
90,1,47.75216102600098,1.3507803749998857
85,3,54.0256872177124,1.4762678750012128
47,1,24.807900190353394,1.372099624999464
83,1,47.75723099708557,1.4732250000015483
67,2,44.162636041641235,2.110696749999988
72,5,38.492223262786865,1.2826343340002495
35,5,26.37172293663025,1.789348708000034
16,5,9.876849889755249,1.3486170840005798
22,5,26.370193004608154,1.4256733749989507
19,5,9.873278856277466,1.573961167001471
61,2,44.16033411026001,1.0960444580014157
30,2,23.736749172210693,1.7049843330005388
29,1,19.054945945739746,1.78713933400104
89,1,49.841078996658325,1.672764499999175
95,3,52.96924710273743,1.4549610410012974
23,5,20.11319327354431,1.4586334169998736
69,5,35.383363008499146,1.623294042001362
79,2,44.154210805892944,1.4711686669998016
3,5,11.414777994155884,1.6459715420005523
50,5,32.664857149124146,2.0603572920008446
9,1,7.8092310428619385,1.2575992500005668
7,2,10.376580953598022,1.767356915999699
64,1,34.336726665496826,1.1913930829996389
6,2,10.379673957824707,1.5509217079998052
98,4,43.62311816215515,2.9141835419995914
59,4,33.23417687416077,1.7273824580006476
5,2,10.378230094909668,2.093200457999046
82,5,48.28010129928589,1.676873667000109
32,3,19.048233032226562,1.5216662920011004
86,5,39.50072503089905,1.5074843340007646
97,2,50.39129400253296,1.398250125001141
46,2,31.612874031066895,2.089747666999756
66,2,35.38874697685242,1.7260917500007054
87,1,53.50858211517334,1.4598874999992404
33,5,20.107342958450317,1.9427072090002184
74,2,44.16475176811218,2.0076729169995815
81,5,50.912492990493774,1.7814948329996696
48,2,27.421119689941406,1.5443257080005424
14,2,17.55385112762451,1.8117725000010976
75,3,39.51067900657654,1.4504170830005023
12,3,4.730729341506958,1.876103708000301
27,2,23.74555206298828,1.584547417000067
25,4,24.26072907447815,1.514617917000578
78,2,51.42888402938843,1.584204499999032
43,4,26.887386083602905,1.6381452919995354
71,3,33.79666614532471,1.7479870410006697
2,1,12.443732023239136,1.5915616669990411
52,3,24.809898138046265,1.2411694999991596
38,4,24.267524003982544,2.1070164169996133
39,5,26.366815090179443,1.1071357500004524
37,5,12.911428928375244,1.6014172499999404
84,5,46.215734004974365,2.5789622089996556
56,2,27.41710638999939,1.203867291998904
8,3,6.782321929931641,1.3612615000001824
73,4,33.25100517272949,0.9913882090004336
58,5,30.055110931396484,1.0997190830003092
63,3,31.66240882873535,1.6033482079983514
4,1,12.446974992752075,1.5374015830002463
21,5,20.111236810684204,2.126185416000226
34,5,26.364276885986328,1.4592908750000788
70,4,35.38330888748169,1.5210255830006645
49,2,27.423879861831665,1.5088528340002083
77,2,51.42257905006409,1.1718219159993168
68,5,38.4900438785553,1.8690219999989497
88,3,52.976869106292725,1.9087685829999828
94,1,43.1171178817749,1.3395058330006575
62,5,33.23741292953491,1.4227392920001876
11,5,9.859735012054443,2.084542249998776
31,2,23.751245737075806,1.8042042079996463
20,1,20.114490747451782,1.466254167000443
