Time Interval,Agent 3,Agent 0,Agent 2,Agent 1,Agent 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,9.081714570849707,0.0,0.0,15.98174044509341
4,0.0,9.081714570849707,0.0,0.0,15.98174044509341
5,0.0,9.081714570849707,19.648431003446674,28.7849475089726,15.98174044509341
6,17.5067958700342,9.081714570849707,19.648431003446674,28.7849475089726,17.69385571022302
7,17.5067958700342,18.002882737521027,19.648431003446674,28.7849475089726,17.69385571022302
8,45.90049669273613,18.002882737521027,31.133595560777312,28.7849475089726,17.69385571022302
9,28.393700822701916,38.60562399692336,31.133595560777312,28.7849475089726,38.39255302538391
10,28.393700822701916,29.684455830252038,31.133595560777312,28.7849475089726,38.39255302538391
11,48.027226196036175,29.684455830252038,35.97987617754734,39.861110091485855,38.39255302538391
12,48.027226196036175,51.09480075970635,35.97987617754734,39.861110091485855,35.09494876483186
13,48.027226196036175,53.382516871023945,36.4756483857944,39.861110091485855,45.438001893052245
14,48.027226196036175,53.382516871023945,36.4756483857944,39.861110091485855,45.438001893052245
15,57.58788737334217,53.382516871023945,39.08310424720558,39.861110091485855,42.265578996165445
16,57.58788737334217,53.382516871023945,50.6486161717879,66.925899615067,42.265578996165445
17,57.58788737334217,53.382516871023945,50.6486161717879,53.36530254288748,70.97220435595843
18,57.58788737334217,53.382516871023945,50.6486161717879,53.36530254288748,56.57595290628745
19,57.58788737334217,53.382516871023945,50.6486161717879,53.36530254288748,56.57595290628745
20,52.95741300450223,53.382516871023945,83.97010405810053,53.36530254288748,56.57595290628745
21,52.95741300450223,38.696413685456655,83.97010405810053,53.36530254288748,81.53047326844406
22,52.95741300450223,63.055401359564975,83.97010405810053,65.70267735517557,81.53047326844406
23,76.94472824585921,63.055401359564975,54.10493052726869,65.70267735517557,78.23101194841163
24,69.91992873601629,63.055401359564975,54.10493052726869,65.70267735517557,78.23101194841163
25,69.91992873601629,63.055401359564975,54.10493052726869,65.70267735517557,78.23101194841163
26,69.91992873601629,77.81067665643269,75.67814684617024,63.38407056134354,78.23101194841163
27,67.78270276143661,53.45168898232436,75.67814684617024,63.38407056134354,78.23101194841163
28,56.790457592159214,71.4303899188515,75.67814684617024,63.38407056134354,78.23101194841163
29,80.56645308416894,71.4303899188515,75.67814684617024,73.0739960266372,78.23101194841163
