job_id,wait_time
99,11.784037828445435
98,170.30740118026733
97,615.2902550697327
96,982.9252965450287
95,515.152791261673
94,1130.5289392471313
93,805.3243741989136
92,720.5079712867737
91,35.054083824157715
90,685.3944597244263
89,805.3316559791565
88,125.3930652141571
87,425.2708833217621
86,805.3343558311462
85,425.2871985435486
84,424.47480392456055
83,328.9404821395874
82,1084.9595775604248
81,1209.4694068431854
80,938.1154329776764
79,938.7210030555725
78,938.7722864151001
77,290.34506034851074
76,938.7779531478882
75,1300.4796423912048
74,843.1746320724487
73,1351.1663694381714
72,343.984610080719
71,476.94867300987244
70,476.9528765678406
69,1170.2921376228333
68,1351.1976387500763
67,1250.136650800705
66,515.219934463501
65,1130.34366106987
64,1130.3475420475006
63,720.4216022491455
62,170.34445214271545
61,47.33083486557007
60,76.39264678955078
59,47.299800157547
58,1130.355577468872
57,1300.4749975204468
56,304.2423896789551
55,476.97853422164917
54,765.9398248195648
53,88.33909034729004
52,651.400821685791
51,720.530898809433
50,205.24392652511597
49,836.3778557777405
48,836.4393649101257
47,88.33648705482483
46,720.3614521026611
45,1351.0245814323425
44,1417.9108397960663
43,205.30029797554016
42,723.6551826000214
41,310.37716794013977
40,145.0979688167572
39,1211.4151730537415
38,1300.4534792900085
37,1089.542561531067
36,895.6691348552704
35,344.0158038139343
34,895.5086765289307
33,1300.4631168842316
32,685.3412625789642
31,387.94810223579407
30,344.06219267845154
29,97.9050076007843
28,471.13115310668945
27,471.1476044654846
26,874.9487946033478
25,720.4509966373444
24,1044.4566621780396
23,754.9697871208191
22,754.9749355316162
21,387.956417798996
20,387.99029779434204
19,1013.3769602775574
18,230.2742817401886
17,1535.3114471435547
16,1085.3081805706024
15,470.4105544090271
14,780.3377912044525
13,515.9187066555023
12,1474.9329385757446
11,170.25390911102295
10,170.4213891029358
9,1170.5622835159302
8,1480.3325400352478
7,1250.221326828003
6,477.0682098865509
5,477.072331905365
4,938.0175247192383
3,1250.3225674629211
2,310.3005485534668
1,240.28059482574463
0,125.34689974784851
