Time Interval,Agent 1
0,0.0
1,0.0
2,56.44
3,56.45
4,56.45
5,56.45
6,56.45
7,56.45
8,41.85
9,29.19
10,29.19
11,55.88
12,46.68
13,46.68
14,46.68
15,46.68
16,46.68
17,46.68
18,46.68
19,46.68
20,46.68
21,46.68
22,46.68
23,46.68
24,46.69
25,46.69
26,46.69
27,103.13
28,103.13
29,103.13
30,103.13
31,103.13
32,103.14
33,103.14
34,103.14
35,103.15
36,103.15
37,103.15
38,103.15
39,103.15
40,103.15
41,103.15
42,103.15
43,103.15
44,103.15
45,103.15
46,103.15
47,103.15
48,103.15
49,103.15
50,103.16
51,103.16
52,103.16
53,103.16
54,103.16
55,103.16
56,103.16
57,103.16
58,103.17
59,103.17
60,103.17
61,103.17
62,103.17
63,103.17
64,103.17
65,103.17
66,103.17
67,103.17
68,103.17
69,103.17
70,103.17
71,103.17
72,103.17
73,103.17
74,103.17
75,103.17
76,103.17
77,103.17
78,88.29
79,88.29
80,88.29
81,61.71
82,61.71
83,61.71
84,61.71
85,61.71
86,61.71
87,48.22
88,48.22
89,40.9
90,21.92
91,21.92
92,21.92
93,15.85
94,10.6
95,10.6
96,10.6
97,10.6
98,10.6
99,10.6
100,10.6
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
