time_to_elect_leader
1
1
1
2
2
2
14
14
14
12
13
13
13
12
1
1
1
12
3
0
0
3
3
8
8
8
12
12
2
1
12
38
30
10
10
4
4
4
9
2
2
2
6
6
4
4
3
4
9
3
3
9
10
10
10
10
11
11
19
10
32
20
17
17
21
3
9
9
9
11
11
11
15
15
15
8
14
20
20
14
13
12
20
20
20
19
21
6
6
6
4
4
4
2
2
17
17
11
10
