job_id,selection_time
99,0.013666391372680664
98,0.7499387264251709
97,1.0304274559020996
96,7.841335296630859
95,0.02949213981628418
94,1.5857341289520264
93,1.914750576019287
92,14.083301782608032
91,8.787091255187988
90,5.256300926208496
89,8.407296180725098
88,0.5299086570739746
87,0.8223929405212402
86,3.0229244232177734
85,2.1726040840148926
84,1.2455174922943115
83,20.545804500579834
82,4.350210428237915
81,5.883877992630005
80,6.0366034507751465
79,5.90188193321228
78,3.1480369567871094
77,10.009461402893066
76,3.572326898574829
75,2.6158766746520996
74,4.996952295303345
73,7.3443193435668945
72,4.3603129386901855
71,4.43901515007019
70,1.3587405681610107
69,1.7986693382263184
68,12.300159215927124
67,5.150938272476196
66,7.445979356765747
65,22.499500513076782
64,21.42562460899353
63,6.544638156890869
62,5.456303596496582
61,4.990179061889648
60,24.058131217956543
59,15.914745807647705
58,15.02104663848877
57,1.2715785503387451
56,4.286109924316406
55,3.609313726425171
54,4.688067197799683
53,4.993334054946899
52,7.059895277023315
51,12.295819997787476
50,3.788342237472534
49,10.017557144165039
48,10.931993246078491
47,10.271876573562622
46,0.908989429473877
45,25.375892162322998
44,7.279592037200928
43,13.31984543800354
42,15.204633474349976
41,12.167034149169922
40,5.912667512893677
39,5.99507737159729
38,8.141573429107666
37,19.15949058532715
36,1.3234713077545166
35,9.79438066482544
34,2.4632856845855713
33,2.944748640060425
32,16.918167114257812
31,14.493885278701782
30,7.9958579540252686
29,1.5386152267456055
28,10.594893455505371
27,5.517541170120239
26,10.893633127212524
25,4.9960339069366455
24,0.2836441993713379
23,11.057774305343628
22,6.5719263553619385
21,5.395920276641846
20,0.23895835876464844
19,7.208271265029907
18,8.45628046989441
17,17.530131340026855
16,3.2260658740997314
15,8.14589238166809
14,4.869071960449219
13,2.98879075050354
12,9.338189601898193
11,4.158732652664185
10,7.445343255996704
9,7.980658292770386
8,9.978203058242798
7,7.652127027511597
6,1.341642141342163
5,2.1746532917022705
4,4.93109393119812
3,1.8679111003875732
2,10.624745845794678
1,11.529612302780151
0,2.23846435546875
