Time Interval,Agent 2
0,0.0
1,0.0
2,36.3
3,36.3
4,43.77
5,43.77
6,43.77
7,80.48
8,80.48
9,80.48
10,80.48
11,80.48
12,77.54
13,77.54
14,77.55
15,77.55
16,77.55
17,77.55
18,63.99
19,64.0
20,64.0
21,64.0
22,40.84
23,40.84
24,40.84
25,80.84
26,80.84
27,80.84
28,80.84
29,80.84
30,69.73
31,54.62
32,54.62
33,54.62
34,54.62
35,54.62
36,54.62
37,63.29
38,63.29
39,63.29
40,63.29
41,63.29
42,63.29
43,63.29
44,63.29
45,63.29
46,50.8
47,50.8
48,36.47
49,36.47
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
