Time Interval,Agent 17
0,0.0
1,0.0
2,36.3
3,36.3
4,62.97
5,62.97
6,62.97
7,62.98
8,62.98
9,62.98
10,62.98
11,62.98
12,45.76
13,45.76
14,82.05
15,82.05
16,82.05
17,78.67
18,78.67
19,78.67
20,78.67
21,78.67
22,62.98
23,62.98
24,46.36
25,46.36
26,46.36
27,60.37
28,60.37
29,60.37
30,60.37
31,45.33
32,71.07
33,71.07
34,71.07
35,71.08
36,71.08
37,59.41
38,59.41
39,59.41
40,59.41
41,59.41
42,59.41
43,47.3
44,47.3
45,47.3
46,32.47
47,32.47
48,26.05
49,26.05
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
