Time Interval,Agent 2,Agent 1,Agent 0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,8.89852469460462,0.0,0.0
4,8.89852469460462,15.781609954620539,0.0
5,8.89852469460462,15.781609954620539,13.299310079386151
6,22.253839712992292,15.781609954620539,13.299310079386151
7,22.253839712992292,17.53897884725401,44.76683600801065
8,22.253839712992292,45.8276825350252,44.76683600801065
9,69.83967735912418,45.8276825350252,48.42843056438881
10,56.4843623407365,79.25981414437997,48.42843056438881
11,56.4843623407365,79.25981414437997,59.923160812015155
12,72.98574762280275,61.720835297125966,59.923160812015155
13,72.98574762280275,64.48711192743947,80.61029966882987
14,72.98574762280275,84.04729081452348,80.61029966882987
15,90.4305182847384,84.04729081452348,105.57099842956613
16,90.4305182847384,90.63298242715516,105.57099842956613
17,120.15112784783203,90.63298242715516,105.57099842956613
18,107.58358786653089,110.32007462811907,94.07626818193981
19,107.58358786653089,110.32007462811907,125.36237704614358
20,112.8030253139104,133.72957732212836,125.36237704614358
21,127.45239650138394,113.6839527692304,125.36237704614358
22,118.18210907305209,146.61376579789052,125.36237704614358
23,140.01896802658604,127.0535869108065,125.36237704614358
24,127.39029714367004,127.0535869108065,143.40325494542589
25,127.39029714367004,158.8468288105261,143.40325494542589
26,168.24633593936483,158.8468288105261,164.00792158327724
27,168.24633593936483,174.5085897146739,164.00792158327724
28,165.51635873501576,164.56125230899167,189.92422049467638
29,149.01850874517226,154.03244992371629,189.92422049467638
30,162.23573178963986,154.03244992371629,152.90988328774344
31,162.23573178963986,154.03244992371629,156.87155142604863
32,162.23573178963986,172.6831757071967,156.87155142604863
33,162.23573178963986,172.6831757071967,165.81726201134913
34,176.87047869157203,142.68798140055577,179.76273955291003
35,156.1525387604719,192.53589994889285,179.76273955291003
36,192.04712227989336,175.13453099833106,162.9653271668591
37,192.04712227989336,175.13453099833106,196.6845957007572
38,192.04712227989336,175.18933113879865,180.7384832449321
39,192.04712227989336,194.710924088546,180.7384832449321
40,206.3981082619017,179.04916318439817,198.19093722792698
41,186.62005647959367,205.17287313973853,184.24545968636605
42,186.62005647959367,188.002651462827,215.43098889993476
43,197.4729644810518,188.002651462827,215.43098889993476
44,197.4729644810518,198.5984717380105,215.43098889993476
45,226.1750479782453,210.6232999325769,214.41970451967984
46,222.00989618848232,236.64349659576902,216.25955191179227
47,222.00989618848232,237.47302716392238,249.87093385242036
48,247.11785825181363,227.5397331921345,249.87093385242036
49,247.11785825181363,259.31136316972754,239.6715620259626
50,264.9978103898378,241.8636191432848,267.9714913255655
51,245.30633495791386,267.85817658126297,217.79795457679586
52,248.9716745228336,267.85817658126297,257.5811141435784
53,247.59212067605893,238.11935241802715,257.5811141435784
54,247.59212067605893,238.11935241802715,257.5811141435784
55,247.59212067605893,216.8648818176739,228.03073692042653
56,247.59212067605893,216.8648818176739,228.03073692042653
57,247.59212067605893,194.1048709569723,228.03073692042653
58,208.6670639263098,194.1048709569723,228.03073692042653
59,205.5362646114788,190.9729189768009,219.0500210969161
60,205.5362646114788,174.548477230917,219.0500210969161
61,205.5362646114788,174.548477230917,219.0500210969161
62,170.01768718184059,174.548477230917,188.35871740011896
63,170.01768718184059,174.548477230917,188.35871740011896
64,170.01768718184059,142.7552353311974,188.35871740011896
65,135.42252742762057,142.7552353311974,160.69836848799946
66,135.42252742762057,110.3002606688355,132.3984391883965
67,107.57055748122077,110.3002606688355,120.63152702566414
68,107.57055748122077,110.3002606688355,120.63152702566414
69,78.97732614127011,110.3002606688355,120.63152702566414
70,78.97732614127011,110.3002606688355,120.63152702566414
71,78.97732614127011,110.3002606688355,120.63152702566414
72,78.97732614127011,77.07509761263371,120.63152702566414
73,78.97732614127011,77.07509761263371,88.56393698299692
74,78.97732614127011,77.07509761263371,88.56393698299692
75,50.275242644076656,50.3851621255783,88.56393698299692
76,50.275242644076656,50.3851621255783,88.56393698299692
77,50.275242644076656,50.3851621255783,88.56393698299692
78,25.167280580745366,50.3851621255783,88.56393698299692
79,25.167280580745366,50.3851621255783,58.79211865523111
80,25.167280580745366,50.3851621255783,58.79211865523111
81,0.0,26.573155934447087,58.79211865523111
82,0.0,26.573155934447087,58.79211865523111
83,0.0,26.573155934447087,58.79211865523111
84,0.0,26.573155934447087,58.79211865523111
85,0.0,26.573155934447087,26.575964026156058
86,0.0,26.573155934447087,26.575964026156058
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
