job_id,scheduling_latency
99,11.36716079711914
98,141.98637056350708
97,193.83032774925232
96,411.8380665779114
95,415.03629422187805
94,666.7975888252258
93,226.74341821670532
92,769.3653364181519
91,771.2034800052643
90,36.75229001045227
89,1161.8384206295013
88,1024.879938840866
87,1151.9161624908447
86,1320.629227399826
85,954.7629797458649
84,1164.9969363212585
83,508.8488492965698
82,1321.8157596588135
81,507.34448885917664
80,510.6835277080536
79,911.7824552059174
78,1413.0344741344452
77,941.5696573257446
76,249.3347578048706
75,941.8414304256439
74,385.5349452495575
73,386.79711389541626
72,1274.8891875743866
71,1276.588945388794
70,1356.8284513950348
69,1181.79900765419
68,231.76866841316223
67,426.5381512641907
66,1064.8848848342896
65,463.6335783004761
64,64.82636666297913
63,54.5009069442749
62,91.62559914588928
61,162.8259241580963
60,346.79084491729736
59,1624.697999715805
58,1136.6604406833649
57,844.8776190280914
56,698.860506772995
55,111.7376320362091
54,111.82044887542725
53,846.7988793849945
52,1163.2959163188934
51,1626.8291585445404
50,1396.285995721817
49,470.0407371520996
48,446.75653886795044
47,876.8199043273926
46,1101.8507335186005
45,1386.9045865535736
44,1146.8268203735352
43,1206.802057981491
42,1401.852971792221
41,961.8051915168762
40,1396.273449897766
39,1045.5746941566467
38,726.7739889621735
37,566.8460161685944
36,729.3128089904785
35,726.8135778903961
34,1476.8573896884918
33,967.3714735507965
32,1736.8354580402374
31,1163.11488199234
30,966.8266425132751
29,796.77769780159
28,269.84124732017517
27,721.8550941944122
26,269.34010672569275
25,623.354779958725
24,1236.8731265068054
23,1546.8951346874237
22,1497.509075641632
21,204.58270502090454
20,1516.1056878566742
19,1706.9051322937012
18,1705.1223876476288
17,1241.8224325180054
16,1241.8315930366516
15,1468.4059567451477
14,994.8971078395844
13,1021.874945640564
12,236.1925983428955
11,1356.8447308540344
10,332.3999853134155
9,1396.8980731964111
8,929.5023939609528
7,1398.9073224067688
6,296.747829914093
5,309.5517563819885
4,797.3629355430603
3,798.8684322834015
2,665.0510482788086
1,356.8077087402344
0,364.33950424194336
