time_to_elect_leader
0
0
0
0
1
1
1
1
0
0
1
2
0
0
1
0
1
0
1
0
1
0
0
1
0
0
1
3
1
4
0
3
1
0
1
1
1
0
2
1
2
1
2
2
0
1
21
0
1
2
1
1
4
0
2
0
0
1
1
0
1
1
1
0
14
0
19
55
0
0
0
1
1
1
0
0
0
1
2
1
2
1
0
1
0
2
0
2
1
1
1
1
1
0
1
0
0
0
0
1
