job_id,scheduling_latency
99,11.250416994094849
98,12.932725667953491
97,35.01162934303284
96,36.58120799064636
95,37.17796564102173
94,38.17975354194641
93,26.36752986907959
92,27.149545431137085
91,28.448218822479248
90,68.48298192024231
89,68.74908518791199
88,70.01460075378418
87,18.303282976150513
86,51.68653416633606
85,86.48198342323303
84,21.827472448349
83,20.803751230239868
82,29.482452392578125
81,87.15412330627441
80,87.81279397010803
79,40.01242733001709
78,102.15541052818298
77,114.64886403083801
76,123.72842812538147
75,131.9375443458557
74,89.33000206947327
73,23.91818356513977
72,103.43077850341797
71,132.18451023101807
70,42.18703770637512
69,39.324917793273926
68,40.772531270980835
67,141.03026008605957
66,162.16068577766418
65,53.21905255317688
64,176.72630763053894
63,146.46136951446533
62,147.07428455352783
61,116.57628011703491
60,73.23726415634155
59,89.92894530296326
58,43.3634819984436
57,91.01732397079468
56,191.48920488357544
55,157.18657875061035
54,134.64259576797485
53,56.77271914482117
52,152.1863842010498
51,149.70242476463318
50,192.18941235542297
49,44.4733145236969
48,45.51412391662598
47,106.63521766662598
46,117.55064105987549
45,119.07418847084045
44,58.417253732681274
43,171.04116010665894
42,75.90625667572021
41,76.01262760162354
40,77.46232652664185
39,92.81158828735352
38,196.93094396591187
37,60.536871910095215
36,48.235410928726196
35,135.29537987709045
34,94.1459219455719
33,158.0480191707611
32,78.87730503082275
31,79.45530319213867
30,159.53470420837402
29,80.51722192764282
28,127.82369637489319
27,136.3157868385315
26,161.19042325019836
25,128.13045024871826
24,63.737563610076904
23,108.9905047416687
22,109.99125814437866
21,82.15444803237915
20,96.4155592918396
19,81.2568473815918
18,178.20056200027466
17,128.78662419319153
16,97.10911154747009
15,178.70946598052979
14,98.74350690841675
13,83.88325595855713
12,206.44386553764343
11,143.7500548362732
10,208.5289545059204
9,121.38463020324707
8,122.18498206138611
7,111.87321376800537
6,179.90748238563538
5,138.40151715278625
4,99.74508047103882
3,100.83860206604004
2,67.71380591392517
1,180.0251247882843
0,200.55639815330505
