Time Interval,Agent 28
0,0.0
1,0.0
2,0.0
3,6.44
4,21.56
5,21.57
6,21.57
7,21.57
8,21.57
9,36.27
10,36.27
11,36.27
12,36.27
13,36.27
14,36.27
15,36.27
16,36.27
17,36.27
18,67.53
19,67.53
20,67.53
21,67.53
22,67.53
23,67.53
24,67.54
25,67.54
26,67.55
27,67.55
28,67.55
29,64.3
30,64.3
31,64.3
32,52.41
33,52.41
34,52.41
35,52.41
36,52.41
37,52.41
38,52.41
39,52.41
40,52.41
41,52.42
42,52.42
43,52.42
44,52.42
45,52.42
46,52.42
47,52.42
48,52.42
49,52.42
50,52.42
51,52.42
52,52.42
53,52.42
54,52.42
55,52.43
56,53.77
57,53.77
58,39.06
59,37.08
60,37.08
61,37.08
62,37.08
63,37.08
64,37.08
65,37.09
66,37.09
67,37.09
68,37.09
69,37.09
70,37.09
71,37.09
72,37.09
73,37.09
74,37.09
75,37.09
76,37.09
77,37.09
78,37.09
79,37.09
80,37.09
81,37.09
82,37.09
83,37.09
84,37.09
85,37.09
86,37.09
87,37.09
88,37.09
89,37.09
90,37.09
91,37.09
92,26.69
93,26.69
94,26.69
95,26.69
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
