Time Interval,Agent 13
0,0.0
1,0.0
2,0.0
3,42.84
4,42.84
5,42.84
6,42.84
7,42.84
8,42.84
9,42.85
10,42.85
11,42.85
12,42.85
13,42.85
14,42.85
15,42.85
16,42.85
17,42.85
18,32.59
19,32.59
20,32.59
21,59.09
22,39.76
23,39.76
24,39.77
25,39.77
26,39.77
27,39.77
28,39.77
29,39.77
30,39.77
31,39.77
32,39.77
33,39.77
34,39.77
35,39.77
36,39.77
37,39.77
38,39.77
39,77.32
40,77.32
41,77.32
42,77.32
43,77.33
44,77.33
45,77.33
46,77.33
47,77.33
48,77.33
49,77.33
50,77.33
51,77.33
52,77.33
53,77.33
54,77.33
55,77.33
56,77.33
57,77.33
58,77.33
59,77.33
60,77.33
61,77.33
62,77.33
63,77.33
64,77.33
65,77.33
66,77.33
67,77.33
68,77.33
69,77.33
70,77.33
71,77.33
72,77.33
73,77.33
74,77.33
75,77.34
76,77.34
77,77.34
78,77.34
79,77.34
80,77.34
81,77.34
82,77.34
83,77.34
84,77.34
85,77.34
86,44.86
87,44.87
88,37.55
89,37.55
90,37.55
91,37.55
92,13.06
93,13.06
94,13.06
95,13.06
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
