Time Interval,Agent 5,Agent 6,Agent 2,Agent 7,Agent 3,Agent 8,Agent 4,Agent 9,Agent 0,Agent 1
0,0.0,0.0,28.54374306495664,0.0,0.0,0.0,0.0,0.0,16.942401306528822,0.0
1,0.0,0.0,100.10038863580378,0.0,54.138967678100265,0.0,0.0,0.0,16.942401306528822,0.0
2,0.0,0.0,71.55664557084714,0.0,93.56566527092653,0.0,81.56339623723758,0.0,0.0,0.0
3,0.0,0.0,58.18714247434593,0.0,93.56566527092653,0.0,100.4178117471607,0.0,0.0,0.0
4,103.54653831833268,0.0,58.18714247434593,0.0,82.61723930251233,0.0,84.85185298841344,0.0,0.0,4.261614822764093
5,173.57149657803507,0.0,42.467004410692546,0.0,76.12583959504417,0.0,62.918710852357464,0.0,0.0,88.72839110865179
6,153.13709695180907,6.817708671807571,27.409467026322993,0.0,76.12583959504417,0.0,58.638246816565335,0.0,0.0,88.72839110865179
7,134.3024213269837,145.04743335673749,17.753756494660028,27.6631782723414,48.333055619287975,0.0,58.638246816565335,0.0,0.0,81.38442700160722
8,134.3024213269837,145.04743335673749,17.753756494660028,87.00026677034103,27.51876314481282,39.493174011086495,39.22727945394058,0.0,0.0,72.39360326022452
9,129.1521862442686,123.82308613277179,17.753756494660028,70.24938535423507,27.51876314481282,64.54727559198997,39.22727945394058,93.45683962976155,0.0,72.39360326022452
10,97.46067454399449,109.74027448020868,60.14347384958056,61.20093273853598,27.51876314481282,62.08224657437095,33.064622863370424,86.27936948672587,0.0,68.13198843746044
11,73.74660449124403,83.76714434453469,110.6304159644226,38.9172905447197,48.80113666781385,47.91228963193084,14.92008718595847,86.27936948672587,15.308593543314192,42.41551628425226
12,73.74660449124403,83.76714434453469,75.9873380920248,38.9172905447197,33.27747074681656,47.91228963193084,0.0,78.02159339282586,0.0,42.41551628425226
13,73.74660449124403,83.76714434453469,72.56218456922657,38.9172905447197,17.937003126075485,28.976493784816068,0.0,78.02159339282586,0.0,42.41551628425226
14,73.74660449124403,83.76714434453469,61.077327905550796,28.993086824555505,8.237574088944974,28.976493784816068,0.0,58.580998412056296,0.0,42.41551628425226
15,55.516127113945714,59.05801349832757,58.98657852770409,0.0,8.237574088944974,17.214862565488417,0.0,33.03772551215713,0.0,26.651988031579705
16,55.516127113945714,47.57892393871997,58.98657852770409,0.0,0.0,0.0,0.0,33.03772551215713,0.0,16.722517806156127
17,55.516127113945714,47.57892393871997,44.97103921419709,0.0,0.0,0.0,0.0,33.03772551215713,0.0,16.722517806156127
18,41.565669499584104,47.57892393871997,44.97103921419709,0.0,0.0,0.0,0.0,17.325783632104237,0.0,16.722517806156127
19,41.565669499584104,30.098624873644628,32.58342709786987,0.0,0.0,0.0,0.0,17.325783632104237,0.0,16.722517806156127
20,41.565669499584104,13.61703789219717,32.58342709786987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,41.565669499584104,0.0,32.58342709786987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,11.327515205179996,0.0,14.770339111566892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,11.327515205179996,0.0,14.770339111566892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,11.327515205179996,0.0,14.770339111566892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,11.327515205179996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,11.327515205179996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,11.327515205179996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
