time_to_elect_leader
1
0
0
11
9
3
0
3
3
1
0
1
2
0
10
0
0
1
2
3
2
0
1
0
1
1
0
1
3
3
11
1
2
1
2
5
6
5
0
0
0
1
1
0
1
6
9
19
14
1
1
7
1
8
0
1
9
10
10
1
2
4
4
4
10
11
11
11
12
14
19
14
7
13
1
1
4
1
4
6
6
4
8
15
13
9
11
2
2
3
4
3
4
1
13
6
7
9
8
3
