Time Interval,Agent 0,Agent 1,Agent 3,Agent 2,Agent 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,17.30411159004419,17.663925398131173,0.0,0.0,0.0
4,17.30411159004419,26.35504898532877,28.723011859503142,0.0,0.0
5,17.30411159004419,11.4092468325407,28.723011859503142,9.154136641483317,0.0
6,17.30411159004419,11.4092468325407,28.723011859503142,9.154136641483317,26.30076162214641
7,17.30411159004419,11.4092468325407,28.723011859503142,16.103663529341386,26.30076162214641
8,17.30411159004419,35.10588966223383,28.723011859503142,16.103663529341386,26.30076162214641
9,19.82747909236181,23.69664282969313,28.723011859503142,39.30235444796452,26.30076162214641
10,19.82747909236181,23.69664282969313,0.0,27.828913867293466,37.81165459160137
11,19.795300885071605,22.146720791418023,27.282752911077637,27.828913867293466,37.81165459160137
12,19.795300885071605,22.146720791418023,27.282752911077637,20.879386979435395,37.81165459160137
13,19.795300885071605,22.146720791418023,27.282752911077637,41.50239162892488,21.95878424830099
14,29.28543909108538,22.146720791418023,27.282752911077637,41.50239162892488,21.95878424830099
15,29.28543909108538,22.146720791418023,27.282752911077637,23.984704936883762,20.934692015157278
16,29.28543909108538,22.146720791418023,27.282752911077637,35.401939163640264,29.919483228447724
17,29.28543909108538,22.146720791418023,34.74367572866604,35.401939163640264,29.19772743978349
18,29.971744761942166,26.419080728060546,34.74367572866604,35.401939163640264,29.19772743978349
19,29.971744761942166,34.57391702418811,34.74367572866604,52.760230808600724,29.19772743978349
20,29.971744761942166,34.57391702418811,34.74367572866604,52.760230808600724,50.64534297609034
21,38.0358543800694,29.136809821138147,34.74367572866604,64.98998334542233,50.64534297609034
22,38.0358543800694,36.221492393820355,52.040132821653145,34.09538517813211,50.64534297609034
23,38.0358543800694,44.65849144518242,52.040132821653145,64.98998334542233,50.64534297609034
24,38.0358543800694,31.361591304494873,52.040132821653145,64.98998334542233,50.64534297609034
25,38.0358543800694,44.65849144518242,52.040132821653145,64.98998334542233,52.023955251580766
26,62.4954113451501,69.26223598703274,52.040132821653145,64.98998334542233,52.023955251580766
27,62.4954113451501,69.26223598703274,45.16523324486526,54.11060793570476,52.023955251580766
28,24.4595569650807,69.26223598703274,45.16523324486526,54.11060793570476,52.023955251580766
29,69.1285943709544,69.26223598703274,73.55978169906511,54.11060793570476,54.232417026956284
