job_id,selection_time
99,25.051093339920044
98,9.947964668273926
97,23.49451756477356
96,74.6133508682251
95,74.61616611480713
94,10.113140106201172
93,108.24253368377686
92,56.002477407455444
91,110.21618843078613
90,19.666630744934082
89,106.0749409198761
88,118.87170433998108
87,94.69502186775208
86,99.04166841506958
85,39.25724148750305
84,39.467599630355835
83,42.226481914520264
82,30.248997688293457
81,45.95731496810913
80,104.60141730308533
79,430.0401141643524
78,57.98611831665039
77,83.66085267066956
76,86.1294436454773
75,57.986427545547485
74,64.60427713394165
73,16.660865545272827
72,68.50487780570984
71,45.01995897293091
70,10.243727207183838
69,99.77336144447327
68,97.2500057220459
67,18.474690437316895
66,12.119192361831665
65,60.82720923423767
64,9.588720798492432
63,61.413167238235474
62,8.226652145385742
61,31.052603006362915
60,70.10096311569214
59,79.60807061195374
58,81.46864342689514
57,76.25069069862366
56,24.919062852859497
55,69.89236974716187
54,26.919270753860474
53,28.409833908081055
52,42.802523136138916
51,599.154061794281
50,90.09981226921082
49,101.06372594833374
48,102.56071710586548
47,29.39582633972168
46,96.00919699668884
45,22.28085732460022
44,6.444648504257202
43,38.482699155807495
42,32.376742124557495
41,118.90381479263306
40,70.31955099105835
39,48.3930721282959
38,50.391459941864014
37,25.362428188323975
36,88.9280321598053
35,28.609323501586914
34,28.254456758499146
33,87.56771230697632
32,95.16164803504944
31,95.86236500740051
30,100.23797249794006
29,45.088003396987915
28,83.8587737083435
27,95.38516306877136
26,35.721102714538574
25,120.89435720443726
24,50.403964042663574
23,50.192410469055176
22,43.49729371070862
21,35.381423473358154
20,44.60535383224487
19,36.32874512672424
18,89.54288983345032
17,50.44315457344055
16,70.507071018219
15,73.19016599655151
14,124.542635679245
13,31.69578266143799
12,26.57193398475647
11,35.833414793014526
10,70.84961605072021
9,101.89977598190308
8,52.18992471694946
7,125.24357724189758
6,38.073413372039795
5,38.58054041862488
4,40.84833741188049
3,147.30829071998596
2,152.2368369102478
1,29.032030820846558
0,119.99239373207092
