time_to_elect_leader
3
3
3
16
16
16
29
29
28
29
29
29
36
36
35
35
34
50
54
54
55
55
84
115
121
130
130
130
151
151
151
178
178
190
185
183
183
200
200
259
259
259
265
265
268
274
274
276
295
295
320
320
315
320
320
320
588
621
583
583
583
588
588
588
598
606
625
625
633
633
633
716
718
716
716
724
728
740
740
729
740
740
753
813
814
814
829
828
831
848
843
848
866
867
