job_id,wait_time
93,11.840607166290283
92,11.87689733505249
91,11.913190603256226
90,11.94950556755066
81,38.062668800354004
72,38.13565111160278
65,38.281007289886475
50,53.527512311935425
49,53.56391096115112
48,53.60026836395264
43,58.95152473449707
42,58.98807621002197
41,60.87644100189209
40,60.91282296180725
37,64.53086400032043
31,70.16290473937988
30,70.19938850402832
24,82.1187834739685
23,82.15522003173828
22,82.19166707992554
21,82.2281084060669
20,82.26452708244324
