job_id,selection_time
96,1.4889354705810547
89,1.693011999130249
88,1.7298896312713623
84,1.6577770709991455
82,1.621433973312378
64,1.29290771484375
63,0.793694019317627
62,0.6844942569732666
61,1.588815450668335
60,1.5889089107513428
59,1.589059829711914
39,0.44692492485046387
38,0.9605453014373779
35,0.477569580078125
34,0.47770142555236816
28,1.3900833129882812
27,1.3902068138122559
26,1.3903427124023438
25,1.3907244205474854
9,1.4247925281524658
8,1.461667776107788
7,1.9029974937438965
1,1.4071800708770752
0,1.4071376323699951
