Time Interval,Agent 33
0,0.0
1,0.0
2,0.0
3,6.44
4,6.44
5,76.97
6,76.97
7,76.97
8,76.98
9,76.98
10,76.98
11,76.98
12,76.98
13,76.98
14,76.99
15,76.99
16,76.99
17,76.99
18,76.99
19,76.99
20,76.99
21,76.99
22,76.99
23,70.55
24,70.56
25,70.56
26,70.56
27,70.56
28,70.56
29,70.56
30,70.56
31,70.56
32,96.15
33,96.15
34,80.02
35,66.75
36,66.76
37,66.76
38,66.76
39,66.76
40,66.76
41,66.76
42,66.76
43,66.76
44,66.76
45,66.76
46,66.76
47,66.76
48,66.76
49,66.76
50,66.77
51,66.77
52,56.46
53,56.46
54,56.46
55,56.46
56,56.46
57,56.46
58,56.46
59,56.46
60,56.46
61,56.46
62,56.46
63,56.46
64,56.46
65,56.46
66,56.46
67,56.46
68,56.46
69,56.46
70,56.46
71,56.46
72,56.46
73,56.46
74,56.46
75,56.46
76,56.46
77,56.46
78,56.46
79,56.46
80,56.46
81,56.47
82,56.47
83,56.47
84,56.47
85,56.47
86,56.47
87,56.47
88,42.97
89,35.65
90,35.65
91,16.67
92,16.67
93,10.6
94,10.6
95,10.6
96,10.6
97,10.6
98,10.6
99,10.6
100,10.6
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
