job_id,scheduling_latency
99,10.327873468399048
98,12.342785358428955
97,19.227444171905518
96,19.809895753860474
95,24.62985134124756
94,44.49322152137756
93,27.698880910873413
92,89.52782487869263
91,91.02773427963257
90,93.18295741081238
89,108.43519949913025
88,61.077839612960815
87,113.01849484443665
86,117.51901173591614
85,117.68721628189087
84,149.0553002357483
83,179.96387195587158
82,139.59264087677002
81,201.0308916568756
80,224.74785995483398
79,26.51264214515686
78,176.0634377002716
77,138.30751061439514
76,151.76954817771912
75,193.7587730884552
74,34.85976195335388
73,173.90389680862427
72,176.06608414649963
71,272.21483850479126
70,245.03470826148987
69,193.51263451576233
68,204.96587109565735
67,245.04314017295837
66,62.6481990814209
65,66.57073855400085
64,217.05376386642456
63,126.04737615585327
62,219.0554211139679
61,63.660380125045776
60,265.02812123298645
59,230.1023371219635
58,211.1252088546753
57,124.7721061706543
56,127.39969801902771
55,98.36991357803345
54,36.632394313812256
53,38.63534927368164
52,239.96934819221497
51,204.8341155052185
50,100.02195000648499
49,48.31294107437134
48,52.40749216079712
47,49.31500291824341
46,154.27383828163147
45,101.64913153648376
44,265.03509879112244
43,70.45933818817139
42,74.80902028083801
41,219.83706998825073
40,231.83525323867798
39,59.37707209587097
38,254.33743023872375
37,284.9727051258087
36,72.03321886062622
35,279.8488562107086
34,184.2300248146057
33,168.02805066108704
32,132.47213459014893
31,157.56652092933655
30,192.0479154586792
29,157.5756230354309
28,234.98904466629028
27,102.65888857841492
26,240.04144406318665
25,159.8070080280304
24,135.54202675819397
23,265.06233072280884
22,161.70897698402405
21,274.88904213905334
20,184.83267426490784
19,213.8528609275818
18,144.3640444278717
17,144.8222954273224
16,79.61660623550415
15,270.919340133667
14,254.34770798683167
13,244.0976047515869
12,278.4592502117157
11,311.03340339660645
10,238.93382024765015
9,292.5366973876953
8,274.83285450935364
7,284.8900194168091
6,81.02693223953247
5,83.10106778144836
4,306.0421998500824
3,198.1486110687256
2,198.1643078327179
1,222.24550986289978
0,147.53629302978516
