Time Interval,Agent 0,Agent 3,Agent 4,Agent 2,Agent 1
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,27.768028696756897,23.07095198716864,0.0,0.0,0.0
4,18.268665049369023,23.07095198716864,69.72731929385085,0.0,0.0
5,18.268665049369023,23.07095198716864,57.939404975652245,17.15616847472251,0.0
6,7.875031484249886,23.07095198716864,57.939404975652245,17.15616847472251,44.326283667401796
7,68.6870274136252,23.07095198716864,57.939404975652245,17.15616847472251,44.326283667401796
8,68.6870274136252,23.07095198716864,57.939404975652245,94.86408500947883,44.326283667401796
9,60.81199592937532,63.375601258199524,26.660638083691595,77.70791653475631,44.326283667401796
10,39.06718803451018,50.71033944624678,79.88681391759073,77.70791653475631,32.42884060636753
11,63.41467986437806,50.71033944624678,79.88681391759073,58.2365173753494,60.122664471147864
12,63.41467986437806,104.34388396676344,79.88681391759073,58.2365173753494,121.29312842610928
13,73.81225981737087,68.1778268067256,79.88681391759073,132.75737996296664,103.87737313205903
14,60.90777628197433,144.6196795140726,79.88681391759073,108.1799126500398,88.17656948841153
15,142.82667745297536,144.6196795140726,101.49255450507528,108.1799126500398,88.17656948841153
16,142.82667745297536,144.6196795140726,95.64710519007463,108.1799126500398,150.16807180896905
17,118.39012738318564,125.46093882011877,159.464889299293,116.05852502455507,119.39222572432386
18,118.39012738318564,125.46093882011877,159.464889299293,165.37390061648762,152.30208790640563
19,118.39012738318564,125.46093882011877,134.07642661361118,143.09537609322655,152.30208790640563
20,199.99979965406243,179.0124980513397,162.28817872412753,143.09537609322655,152.30208790640563
21,199.99979965406243,179.0124980513397,162.28817872412753,190.8359533259921,152.30208790640563
22,188.08102497313493,179.0124980513397,227.24009763233215,190.8359533259921,193.05623928878978
23,166.14448676370998,259.14753830871064,208.54445687739528,190.8359533259921,249.79274036617662
24,249.53693242828575,232.18519762362223,190.61991674404322,172.3610460549826,249.79274036617662
25,224.0882778012891,232.18519762362223,180.16484350058323,202.57381268203108,249.79274036617662
26,224.0882778012891,232.18519762362223,249.48017644216714,221.95835465739572,249.79274036617662
27,224.0882778012891,232.18519762362223,222.4591661760453,271.98563588832417,213.53009157912987
28,233.730132444837,232.18519762362223,222.4591661760453,271.98563588832417,237.00191173088493
29,233.730132444837,208.93258430207413,222.4591661760453,271.98563588832417,214.72159694308243
30,194.3216269143018,187.53010610424167,197.2717519011698,235.83910575805845,196.96117935597263
31,164.80706894128934,187.53010610424167,197.2717519011698,235.83910575805845,196.96117935597263
32,164.80706894128934,187.53010610424167,197.2717519011698,204.37061775437758,187.0947278655251
33,164.80706894128934,176.7919474632884,170.52654299201237,204.37061775437758,167.75146456414004
34,164.80706894128934,176.7919474632884,170.52654299201237,204.37061775437758,135.96143968074244
35,164.80706894128934,176.7919474632884,146.40905450378762,204.37061775437758,135.96143968074244
36,134.09712624795003,159.19264204135592,126.66699423723797,204.37061775437758,135.96143968074244
37,85.23286158851867,159.19264204135592,126.66699423723797,204.37061775437758,104.92033771443444
38,85.23286158851867,128.44150189038726,103.33308183780012,179.57445359993577,104.92033771443444
39,85.23286158851867,97.4882887508635,103.33308183780012,179.57445359993577,70.57064099645501
40,54.76505659995502,97.4882887508635,103.33308183780012,179.57445359993577,48.076425899283684
41,54.76505659995502,97.4882887508635,103.33308183780012,179.57445359993577,48.076425899283684
42,28.48313284059219,97.4882887508635,69.57197467039757,179.57445359993577,48.076425899283684
43,0.0,97.4882887508635,69.57197467039757,179.57445359993577,48.076425899283684
44,0.0,69.39688161641766,69.57197467039757,146.37351667936196,22.58741537404949
45,0.0,69.39688161641766,69.57197467039757,146.37351667936196,22.58741537404949
46,0.0,69.39688161641766,42.2943226754621,146.37351667936196,22.58741537404949
47,0.0,38.09144657665834,19.49046149032973,146.37351667936196,22.58741537404949
48,0.0,38.09144657665834,19.49046149032973,111.46899540265558,22.58741537404949
49,0.0,38.09144657665834,19.49046149032973,84.64133434271619,0.0
50,0.0,0.0,19.49046149032973,84.64133434271619,0.0
51,0.0,0.0,0.0,84.64133434271619,0.0
52,0.0,0.0,0.0,84.64133434271619,0.0
53,0.0,0.0,0.0,57.61260802261772,0.0
54,0.0,0.0,0.0,57.61260802261772,0.0
55,0.0,0.0,0.0,34.619580044588126,0.0
56,0.0,0.0,0.0,14.081370115555549,0.0
57,0.0,0.0,0.0,14.081370115555549,0.0
58,0.0,0.0,0.0,14.081370115555549,0.0
59,0.0,0.0,0.0,14.081370115555549,0.0
60,0.0,0.0,0.0,14.081370115555549,0.0
61,0.0,0.0,0.0,14.081370115555549,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,,,,
