time_to_elect_leader
3
3
3
3
3
3
54
60
60
27
27
16
16
16
27
59
104
19
19
19
11
11
11
47
11
11
11
47
47
104
104
62
84
54
67
89
88
88
67
67
84
59
59
59
117
48
48
48
157
54
51
80
80
80
52
51
108
108
108
173
170
80
43
43
43
80
58
58
58
40
40
40
80
95
33
33
33
95
95
45
45
45
62
62
43
43
43
62
45
72
72
72
45
45
220
61
61
