job_id,scheduling_latency
99,11.781540870666504
98,16.89420461654663
97,105.0164122581482
96,175.02174472808838
95,45.19592213630676
94,58.5503294467926
93,60.050930976867676
92,25.723347187042236
91,172.41881227493286
90,20.07190752029419
89,47.94069147109985
88,175.01905274391174
87,194.78878021240234
86,195.02021598815918
85,215.20603680610657
84,238.04629921913147
83,254.76519465446472
82,254.50362730026245
81,258.79433012008667
80,255.10200572013855
79,22.273991584777832
78,109.68487286567688
77,109.7250292301178
76,29.680514335632324
75,276.7190012931824
74,184.31947684288025
73,87.52150440216064
72,88.74101567268372
71,231.21367979049683
70,195.04353260993958
69,260.0642821788788
68,93.85239267349243
67,65.28406596183777
66,270.21119260787964
65,293.2260813713074
64,147.38369584083557
63,185.14011478424072
62,70.01354098320007
61,219.11207962036133
60,221.23608660697937
59,222.25788283348083
58,223.28181147575378
57,150.0178143978119
56,294.87757635116577
55,33.85561203956604
54,37.917624950408936
53,40.19999122619629
52,265.2154755592346
51,52.86346173286438
50,288.4798815250397
49,315.02912855148315
48,72.77148270606995
47,75.02162432670593
46,188.37999415397644
45,145.27755904197693
44,297.8139226436615
43,96.81671714782715
42,55.22778916358948
41,315.2156205177307
40,153.4277744293213
39,155.40051937103271
38,242.3630611896515
37,243.86315321922302
36,218.6693868637085
35,317.4351284503937
34,304.0027437210083
33,227.04630088806152
32,100.05397272109985
31,157.47092819213867
30,159.47189211845398
29,308.7731523513794
28,125.20514988899231
27,78.80398893356323
26,130.05631399154663
25,132.90833139419556
24,288.4876232147217
23,125.05521512031555
22,118.83607220649719
21,100.70532202720642
20,279.9291903972626
19,125.01792883872986
18,280.85534405708313
17,137.84989309310913
16,164.2100899219513
15,169.66887879371643
14,325.0698537826538
13,322.22384572029114
12,200.06077027320862
11,201.47988390922546
10,207.73171138763428
9,294.97393560409546
8,211.24282598495483
7,305.03174591064453
6,82.32375574111938
5,83.0922315120697
4,190.7196445465088
3,256.25657176971436
2,235.02616000175476
1,266.23860931396484
0,105.27307558059692
