time_to_elect_leader
1
95
153
249
206
194
88
261
3
116
218
215
215
341
85
106
106
205
211
198
217
218
180
181
37
235
115
115
300
59
186
205
16
178
125
18
18
219
17
133
248
234
216
37
95
45
77
305
67
189
192
92
201
131
125
212
141
141
142
125
86
179
56
124
162
162
121
180
181
247
211
85
135
139
142
135
150
178
95
196
207
92
94
66
209
211
92
90
253
356
178
205
211
376
95
259
90
135
258
202
