time_on_queue
10
186
403
752
795
686
302
973
30
375
1181
706
706
1085
228
325
325
1166
815
1263
826
1193
468
468
40
936
666
668
763
130
480
1166
33
1289
671
33
68
697
68
578
958
1321
920
73
246
75
171
756
131
920
920
235
920
465
376
813
465
465
465
671
322
685
84
222
354
354
91
685
685
954
780
131
581
581
563
385
407
920
361
920
540
171
322
85
540
540
171
306
1061
1077
920
1169
691
920
186
1051
278
571
973
780
