job_id,scheduling_latency
73,5.922805547714233
70,6.3416831493377686
37,2.8222157955169678
90,4.613108158111572
91,5.371756553649902
28,3.2827813625335693
7,4.370126247406006
13,4.208948135375977
46,6.16646933555603
21,5.696990728378296
43,4.690274000167847
2,8.66146206855774
96,3.926356077194214
23,5.196653366088867
22,4.1715874671936035
53,6.535125017166138
57,5.267825365066528
78,5.29555869102478
71,7.836000680923462
5,7.58844780921936
45,8.164807319641113
51,3.1386232376098633
81,5.843632698059082
72,6.95561957359314
94,3.6305460929870605
58,2.5990958213806152
36,3.456291437149048
83,7.05586051940918
56,2.916970729827881
11,8.267744779586792
26,3.156146764755249
31,7.333080291748047
24,3.4659829139709473
19,0.2558298110961914
39,3.081878662109375
18,5.0236852169036865
42,5.987619638442993
64,3.845597267150879
77,0.9859745502471924
62,7.104399919509888
65,4.700038433074951
54,5.120434284210205
55,3.374220848083496
80,0.6711258888244629
68,2.6173641681671143
79,1.4093401432037354
61,4.033664703369141
0,0.009742259979248047
89,3.4246532917022705
25,5.526390552520752
59,3.6985223293304443
16,5.199251890182495
52,7.710569620132446
20,8.472759485244751
14,5.014362812042236
8,3.636672019958496
3,7.942152976989746
44,4.063508033752441
32,7.681942939758301
74,4.088871955871582
29,4.975297689437866
50,3.0928475856781006
47,6.795822858810425
41,9.326290369033813
86,2.9296083450317383
9,2.308518171310425
76,6.1518542766571045
88,6.504053354263306
35,5.307720184326172
87,5.126788139343262
99,5.946596622467041
49,1.3900783061981201
12,6.386694431304932
60,5.382751226425171
40,8.697189331054688
15,3.092667579650879
67,2.245025396347046
63,7.200003147125244
6,5.678019285202026
34,3.620755672454834
17,3.6660094261169434
48,3.165436267852783
82,5.756134986877441
97,6.151273012161255
30,4.0613062381744385
66,1.240171194076538
75,6.610363006591797
93,7.05672287940979
27,6.309260368347168
33,3.535060167312622
95,4.545320749282837
1,8.142883777618408
4,5.945146322250366
69,7.457016468048096
10,6.417951583862305
92,6.547698020935059
98,4.576678276062012
85,6.919966220855713
84,4.297226428985596
38,5.675531625747681
