time_on_queue
10
10
10
113
113
113
215
215
215
30
29
29
29
30
30
257
257
41
41
41
41
41
41
257
389
56
56
56
395
395
389
196
196
196
94
40
40
40
94
94
152
152
88
88
88
152
88
88
88
235
235
235
88
88
88
473
473
196
196
196
507
476
165
165
165
446
405
446
215
215
215
446
100
102
102
327
327
176
176
176
210
327
295
216
216
216
386
326
326
325
113
113
113
325
325
325
325
325
475
405
