time_on_queue
10
10
10
10
11
47
20
20
20
17
17
17
17
17
17
20
20
20
47
47
31
31
31
31
31
31
33
47
47
25
25
25
25
26
26
47
47
47
55
48
48
41
41
41
41
41
34
35
35
35
35
36
36
41
41
41
41
48
48
48
48
41
48
48
48
48
48
48
50
50
50
52
49
49
49
49
50
50
50
50
51
51
51
51
52
52
52
52
52
53
53
53
53
55
55
55
56
56
56
