time_on_queue
10
27
56
146
56
146
314
181
325
402
37
17
17
235
357
449
455
462
220
284
366
145
313
122
56
475
399
425
104
339
99
400
510
379
522
530
507
120
473
270
467
257
447
250
45
142
180
507
407
421
87
122
476
508
79
241
495
270
79
79
186
257
77
377
410
146
67
387
208
448
363
304
533
284
161
238
261
284
351
328
284
418
366
325
517
517
438
493
524
442
531
281
493
483
418
501
434
495
521
434
