time_to_elect_leader
0
7
187
257
188
106
38
90
36
47
43
127
130
19
43
51
39
71
97
108
71
264
130
130
26
48
116
143
179
17
12
311
272
456
307
308
312
44
88
89
133
121
322
348
136
66
189
203
444
137
108
20
258
96
179
59
236
237
46
265
323
145
22
30
454
130
213
338
133
40
348
149
312
415
40
114
44
202
357
238
242
28
489
434
436
53
18
18
19
91
197
103
29
133
447
179
138
19
190
105
