job_id,created_at,selection_started_at,selected_by_agent_at,scheduled_at,completed_at,exit_status,leader_id
32,1758857622.255151,1758857628.130489,1758857634.963063,0,1758857635.357954,0,1
49,1758857623.269235,1758857640.429812,1758857658.9117389,0,1758857659.068894,0,3
76,1758857626.373107,1758857656.316729,1758857677.2367628,0,1758857677.534234,0,21
71,1758857626.372928,1758857658.014313,1758857679.2557352,0,1758857679.415359,0,1
50,1758857623.2692668,1758857630.3919601,1758857639.8404748,0,1758857640.013182,0,1
53,1758857624.2963321,1758857640.903043,1758857657.193769,0,1758857657.476066,0,3
75,1758857626.37308,1758857664.784482,1758857686.588486,0,1758857687.160195,0,1
35,1758857622.255269,1758857628.1305048,1758857635.014699,0,1758857635.3787332,0,1
97,1758857628.438915,1758857676.8180091,1758857695.8821561,0,1758857695.921346,0,2
46,1758857623.269141,1758857640.429794,1758857658.855306,0,1758857659.028043,0,3
41,1758857623.268922,1758857631.740947,1758857642.507333,0,1758857642.805227,0,2
59,1758857624.296525,1758857643.2115278,1758857659.640919,0,1758857682.75901,0,3
91,1758857628.4386659,1758857667.5632699,1758857686.511702,0,1758857687.040096,0,1
84,1758857627.3994648,1758857665.660172,1758857685.647607,0,1758857685.9635231,0,1
64,1758857625.319851,1758857642.0109499,1758857663.922079,0,1758857663.9973938,0,21
52,1758857624.296298,1758857636.875923,1758857649.542997,0,1758857649.923863,0,21
44,1758857623.269079,1758857628.599711,1758857638.5091379,0,1758857638.9071932,0,1
80,1758857626.3732128,1758857653.820392,1758857675.2782478,0,1758857675.864661,0,1
81,1758857627.399307,1758857665.660182,1758857687.2208488,0,1758857687.717737,0,1
5,1758857619.089686,1758857621.796944,1758857623.6123981,0,1758857623.7568169,0,1
56,1758857624.296432,1758857641.626107,1758857658.618575,0,1758857659.062013,0,1
23,1758857621.2359612,1758857627.390229,1758857632.566306,0,1758857632.7282119,0,4
57,1758857624.29646,1758857648.585645,1758857649.733477,0,1758857649.930675,0,21
86,1758857627.399609,1758857665.660161,1758857687.1958468,0,1758857687.708761,0,1
2,1758857619.089538,1758857621.796916,1758857623.604353,0,1758857623.7442079,0,1
