Time Interval,Agent 0,Agent 2,Agent 1
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,52.943244919576685,52.943244919576685,0.0
4,52.943244919576685,52.943244919576685,87.40172178563633
5,95.82819788945993,95.82819788945993,87.40172178563633
6,125.56467493521504,125.56467493521504,135.82266767627155
7,130.0709200689949,183.21682229624756,174.4912993205632
8,192.90297302727333,138.1499458485231,174.4912993205632
9,155.7256118848497,191.05530210312733,157.1053041775813
10,207.681696596317,177.03117714089402,157.1053041775813
11,207.681696596317,166.43888821151614,220.5324932465619
12,197.08940766693914,231.84081072314268,201.13281318216545
13,221.15118647585714,214.57720918088,201.13281318216545
14,246.5857757732657,227.19490657879734,222.91197098068108
15,246.5857757732657,215.17724184813864,289.46554314014406
16,246.5857757732657,271.1977095855143,289.46554314014406
17,299.5277894081398,227.77189392649714,273.80680460052383
18,299.5277894081398,277.2601412156003,248.63412873826675
19,259.09817063351477,270.0447223589748,248.63412873826675
20,259.09817063351477,270.0447223589748,299.0029026140581
21,295.4499899416539,285.29487826972934,299.0029026140581
22,295.4499899416539,295.3540928138677,295.04806094466267
23,295.4499899416539,274.7706105096553,295.04806094466267
24,295.4499899416539,289.8600762389403,266.9394799852652
25,282.16066727860266,279.59061433617217,299.3875518445754
26,293.8911260465409,291.32107310411044,299.3875518445754
27,269.6006445904502,286.7120260499661,294.371700024558
28,270.41238030312553,286.7120260499661,261.92362816524775
29,296.7109097652609,286.7120260499661,277.5038658316961
30,266.9904568278405,256.9915731125456,292.81595107509276
31,288.98211608174887,288.4406603080538,292.81595107509276
32,288.98211608174887,288.4406603080538,281.96290213654225
33,289.75113675925456,253.81612819368465,295.3026672669722
34,289.75113675925456,273.20617043106984,269.82337405861165
35,276.39186753963395,294.7078809889335,286.2163995988867
36,276.39186753963395,294.7078809889335,286.2163995988867
37,295.8890257054006,288.7012698054841,296.6274639816634
38,286.30686075056985,279.7332061278461,296.6274639816634
39,268.9219947527896,279.7332061278461,271.52418310685437
40,299.58841885611423,279.7332061278461,271.52418310685437
41,299.58841885611423,279.7332061278461,283.404617236957
42,286.37640649418967,279.4593675664733,283.404617236957
43,286.37640649418967,279.4593675664733,283.404617236957
44,273.43714625167485,279.4593675664733,270.4648081068544
45,252.38729938903535,263.29320161884414,270.4648081068544
46,252.38729938903535,263.29320161884414,270.4648081068544
47,231.71123946685398,263.29320161884414,270.4648081068544
48,231.71123946685398,263.29320161884414,246.6600223750273
49,231.71123946685398,263.29320161884414,246.6600223750273
50,231.71123946685398,246.50335904026764,246.6600223750273
51,231.71123946685398,246.50335904026764,246.6600223750273
52,231.71123946685398,246.50335904026764,214.60514693844138
53,231.71123946685398,246.50335904026764,214.60514693844138
54,203.05328869574817,246.50335904026764,214.60514693844138
55,203.05328869574817,217.88691953629873,214.60514693844138
56,174.46042549487828,217.88691953629873,178.41602338463218
57,174.46042549487828,217.88691953629873,178.41602338463218
58,174.46042549487828,217.88691953629873,178.41602338463218
59,174.46042549487828,182.37056026904733,178.41602338463218
60,157.5092824219986,165.41941719616767,178.41602338463218
61,157.5092824219986,165.41941719616767,178.41602338463218
62,157.5092824219986,165.41941719616767,157.70125995961578
63,157.5092824219986,165.41941719616767,157.70125995961578
64,157.5092824219986,165.41941719616767,129.84859371589172
65,157.5092824219986,137.5033615580493,129.84859371589172
66,125.30206867076976,137.5033615580493,129.84859371589172
67,125.30206867076976,137.5033615580493,129.84859371589172
68,125.30206867076976,110.82705099517557,129.84859371589172
69,125.30206867076976,79.65180236104018,129.84859371589172
70,93.52343094913468,79.65180236104018,103.28460557192753
71,60.103712028145985,50.20076339907172,103.28460557192753
72,60.103712028145985,50.20076339907172,103.28460557192753
73,30.666424103324648,50.20076339907172,103.28460557192753
74,30.666424103324648,50.20076339907172,103.28460557192753
75,30.666424103324648,50.20076339907172,85.40063850687623
76,30.666424103324648,50.20076339907172,85.40063850687623
77,30.666424103324648,21.501710557863735,61.197684389325474
78,30.666424103324648,21.501710557863735,61.197684389325474
79,0.0,21.501710557863735,61.197684389325474
80,0.0,21.501710557863735,61.197684389325474
81,0.0,21.501710557863735,61.197684389325474
82,0.0,21.501710557863735,61.197684389325474
83,0.0,21.501710557863735,31.439626309757692
84,0.0,0.0,31.439626309757692
85,0.0,0.0,31.439626309757692
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
