Time Interval,Agent 0,Agent 1,Agent 2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,8.883643725498734,0.0,8.898988620276597
4,8.883643725498734,15.764246401748878,8.898988620276597
5,22.166869312037417,15.764246401748878,8.898988620276597
6,22.166869312037417,28.654935604202958,41.34666111973212
7,58.78778737465083,28.654935604202958,46.82327211287161
8,53.60419490622349,56.933019751138765,46.82327211287161
9,66.87307817598838,56.933019751138765,54.711071238974185
10,57.98943445048965,56.933019751138765,67.58179873815746
11,57.98943445048965,84.56835076830953,67.58179873815746
12,77.49143140952532,72.86158300606888,76.27046036153762
13,77.49143140952532,90.29897241007146,68.68082411112925
14,77.49143140952532,90.29897241007146,92.88120235761734
15,99.77077495404136,90.29897241007146,102.96735748121529
16,99.77077495404136,116.10634806935022,102.96735748121529
17,108.73058936974681,116.10634806935022,102.96735748121529
18,108.73058936974681,109.3291458085797,122.52634998094304
19,137.3357612243777,109.3291458085797,128.48807085783514
20,125.75093937559058,147.5294803476845,118.68190236033975
21,132.10096359941602,142.30934516254325,136.89593236142872
22,163.26965075932017,142.30934516254325,136.89593236142872
23,143.7676538002845,167.66841332025547,173.8951226110748
24,178.84275350500675,167.66841332025547,173.8951226110748
25,178.84275350500675,181.84023497879826,190.4401157369596
26,187.25849708817566,186.41550930583725,200.41755298513556
27,187.25849708817566,195.8514116235555,200.41755298513556
28,215.95262823625512,195.8514116235555,200.41755298513556
29,213.88722482638246,225.83254151023897,199.24833898235872
30,213.88722482638246,225.83254151023897,216.99128722911902
31,229.25790005023853,221.89401062088814,216.99128722911902
32,219.32218704434445,221.89401062088814,228.3850311036698
33,240.54876087154503,243.76544195299275,228.3850311036698
34,240.54876087154503,243.76544195299275,249.58919385685508
35,268.4531956882779,243.76544195299275,249.58919385685508
36,252.7839324847016,265.9454354102543,249.58919385685508
37,252.7839324847016,265.9454354102543,279.0262439766416
38,273.17924916368816,265.9454354102543,279.0262439766416
39,273.17924916368816,283.7779706595606,276.5693858556572
40,293.7830578170259,283.7779706595606,285.3849496011652
41,306.8447496067872,294.47437466543533,285.3849496011652
42,306.8447496067872,287.8960235235101,295.4484199744092
43,294.8671224675641,313.89383613723663,292.41576809729935
44,297.69284169195356,313.89383613723663,317.5223129696177
45,306.51874202423755,320.9050656620101,298.6432788508657
46,310.64854137601685,320.9050656620101,301.4909654728847
47,310.64854137601685,303.0252639665342,311.9856227199717
48,310.64854137601685,277.8627491653577,311.9856227199717
49,310.64854137601685,277.8627491653577,311.9856227199717
50,287.68212130178193,277.8627491653577,295.8172165958837
51,287.68212130178193,260.6023824379179,295.8172165958837
52,278.8562209694979,260.6023824379179,280.1598558477622
53,264.9465119006969,260.6023824379179,280.1598558477622
54,264.9465119006969,244.18341648515062,266.79581172410974
55,241.1899010859047,244.18341648515062,256.07471210388763
56,241.1899010859047,229.53587301502293,256.07471210388763
57,219.96332725870408,210.14331200408247,229.39405423064358
58,219.96332725870408,210.14331200408247,229.39405423064358
59,201.76693281045857,210.14331200408247,197.95688398399216
60,201.76693281045857,210.14331200408247,197.95688398399216
61,201.76693281045857,210.14331200408247,197.95688398399216
62,201.76693281045857,186.34470594783508,197.95688398399216
63,201.76693281045857,186.34470594783508,197.95688398399216
64,201.76693281045857,186.34470594783508,160.95769373434607
65,173.8624979937257,186.34470594783508,160.95769373434607
66,142.69381083382157,186.34470594783508,160.95769373434607
67,142.69381083382157,154.566667265982,133.10518723456386
68,142.69381083382157,154.566667265982,133.10518723456386
69,142.69381083382157,154.566667265982,133.10518723456386
70,142.69381083382157,154.566667265982,133.10518723456386
71,142.69381083382157,154.566667265982,133.10518723456386
72,113.99967968574212,122.3608612582409,112.39273011270826
73,113.99967968574212,122.3608612582409,112.39273011270826
74,85.41455768092605,122.3608612582409,82.95567999292169
75,57.151125264168286,92.37973137155741,82.95567999292169
76,57.151125264168286,92.37973137155741,82.95567999292169
77,57.151125264168286,92.37973137155741,46.76956162201895
78,57.151125264168286,92.37973137155741,46.76956162201895
79,21.646082562249244,92.37973137155741,46.76956162201895
80,21.646082562249244,62.6601969618027,46.76956162201895
81,21.646082562249244,62.6601969618027,21.66301674970053
82,21.646082562249244,62.6601969618027,21.66301674970053
83,0.0,33.21238283066077,0.0
84,0.0,33.21238283066077,0.0
85,0.0,33.21238283066077,0.0
86,0.0,33.21238283066077,0.0
87,0.0,33.21238283066077,0.0
88,0.0,33.21238283066077,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
