job_id,scheduling_latency
99,45.82482576370239
98,45.82489609718323
97,45.82495331764221
96,61.10205006599426
95,61.102288007736206
94,61.60270953178406
93,69.85753440856934
92,61.60297918319702
91,305.0493085384369
90,310.0475869178772
89,314.85797119140625
88,405.0368981361389
87,338.58864164352417
86,338.5888407230377
85,338.58909702301025
84,405.0373582839966
83,305.0496232509613
82,400.05354738235474
81,467.7385342121124
80,467.73882579803467
79,371.05715823173523
78,467.739084482193
77,576.0702967643738
76,576.0705881118774
75,519.8939521312714
74,519.8941791057587
73,371.0574505329132
72,371.057687997818
71,519.8943839073181
70,505.07008266448975
69,490.5442135334015
68,496.4599058628082
67,637.0951752662659
66,515.0709359645844
65,515.0711214542389
64,515.0713500976562
63,344.87827157974243
62,260.0071907043457
61,260.00755858421326
60,260.00787353515625
59,344.87852668762207
58,344.8788332939148
57,420.18652534484863
56,116.6285331249237
55,116.65000557899475
54,116.65028810501099
53,139.84651398658752
52,366.05740237236023
51,366.05758261680603
50,190.0391035079956
49,190.0393249988556
48,185.0268566608429
47,185.02712631225586
46,141.04323410987854
45,141.0434250831604
44,141.0436782836914
43,185.54243350028992
42,185.5427463054657
41,185.54308104515076
40,456.0615632534027
39,455.02649664878845
38,456.06179022789
37,233.14208555221558
36,233.14227676391602
35,233.14248704910278
34,474.8687958717346
33,285.0140082836151
32,285.0142080783844
31,282.0544972419739
30,280.04804396629333
29,280.04835295677185
28,474.86913108825684
27,474.86931228637695
26,331.5544147491455
25,331.5546495914459
24,331.55486726760864
23,685.5787074565887
22,685.578902721405
21,765.5876922607422
20,711.0843999385834
19,490.40881180763245
18,490.409140586853
17,490.4093909263611
16,631.085690498352
15,634.8842339515686
14,634.8844358921051
13,351.0748362541199
12,351.07533979415894
11,210.90254592895508
10,210.9027383327484
9,210.9029791355133
8,351.07577180862427
7,692.1410450935364
6,635.0548620223999
5,420.1751253604889
4,420.1755335330963
3,420.1757628917694
2,635.055077791214
1,755.0663194656372
0,570.2279989719391
